section_id,norm_multi_family_score,norm_single_family_score,norm_score,urban_parcel_classification,norm_optimal_housing_type,num_housing_units,municipality_name,district_name,comarca,lat,lon,cluster_sc,cluster_description,household_income_sc,multi_family_rental_ppm2_sc,multi_family_purchase_ppm2_percentile_sc,single_family_rental_ppm2_sc,single_family_purchase_ppm2_percentile_sc,office_analysis,office_rental_ppm2
800101001,24.18526767736739,25.644941519241534,25.644941519241534,Other,Single Family,18.0,Abrera,Abrera,Baix Llobregat,41.51072106,1.905566339,1,07 Peripheral Areas,48025.0,7.5,1492.702703,4.9,938.3699186991872,Other,0.0
800101002,19.006726583944214,0.0,19.006726583944214,Other,Multi-Family,4.0,Abrera,Abrera,Baix Llobregat,41.52009496,1.900864687,1,07 Peripheral Areas,46119.0,7.1,1370.108108,,,Other,0.0
800101003,25.495203671627653,0.0,25.495203671627653,Other,Multi-Family,233.0,Abrera,Abrera,Baix Llobregat,41.51340056,1.912959872,1,07 Peripheral Areas,74846.0,7.95,1647.345946,,,Other,0.0
800101004,26.44357911859317,36.14944164457214,36.14944164457214,Other,Single Family,91.0,Abrera,Abrera,Baix Llobregat,41.51482075,1.881604524,1,07 Peripheral Areas,56253.0,8.8,1924.583784,7.7,2554.772357723577,Other,0.0
800101005,25.19601492408469,0.0,25.19601492408469,Other,Multi-Family,39.0,Abrera,Abrera,Baix Llobregat,41.51752431,1.899702167,1,07 Peripheral Areas,46850.0,7.9,1620.140541,,,Other,0.0
800101007,23.285943576273556,30.55212694150055,30.55212694150055,Other,Single Family,297.0,Abrera,Abrera,Baix Llobregat,41.51860434,1.930131065,1,07 Peripheral Areas,52427.0,7.833333333333334,1598.6990993333334,7.4,2337.317073170732,Other,0.0
800101008,24.54343434458927,22.67913288590612,24.54343434458927,Other,Multi-Family,43.0,Abrera,Abrera,Baix Llobregat,41.52365547,1.903392509,1,07 Peripheral Areas,54291.0,7.766666666666667,1577.2576576666663,7.3,2274.573170731708,Other,0.0
800301001,29.64958153716605,29.45909462167823,29.64958153716605,Other,,0.0,Alella,Alella,Maresme,41.49627321,2.301261567,1,07 Peripheral Areas,81903.0,12.4,3387.545946,9.1,3366.260162601626,Other,0.0
800301002,28.892050379152465,28.91707877040149,28.91707877040149,Other,Single Family,205.0,Alella,Alella,Maresme,41.48243825,2.299905382,1,07 Peripheral Areas,91368.0,11.1,2814.0,8.9,3259.353658536585,Mix Use New Development,8.769
800301003,33.25158862431464,34.16911507313191,34.16911507313191,Other,,0.0,Alella,Alella,Maresme,41.49002202,2.289833418,1,07 Peripheral Areas,97416.0,12.1,3250.648649,9.7,3723.459349593495,Other,0.0
800301004,29.56943613206741,30.29127119243218,30.29127119243218,Other,,0.0,Alella,Alella,Maresme,41.50619703,2.287039545,1,07 Peripheral Areas,99263.0,10.15,2484.772973,9.6,3657.756097560976,Other,0.0
800501001,27.192356856305917,27.53598766815363,27.53598766815363,Other,Multi-Family,86.0,"Ametlla del Vallès, L'","Ametlla del Vallès, l'",Valles Oriental,41.68754443,2.247811041,1,07 Peripheral Areas,78773.0,8.0,1658.2054058,7.3,2274.573170731708,Other,0.0
800501002,25.002571540652383,24.630516741125057,25.002571540652383,Other,Multi-Family,38.0,"Ametlla del Vallès, L'","Ametlla del Vallès, l'",Valles Oriental,41.6700764,2.261877964,1,07 Peripheral Areas,75840.0,8.3,1752.421622,5.8,1338.4796747967482,Other,0.0
800501003,24.14606840352111,26.407999150764116,26.407999150764116,Other,Multi-Family,75.0,"Ametlla del Vallès, L'","Ametlla del Vallès, l'",Valles Oriental,41.65916527,2.259890769,1,07 Peripheral Areas,89652.0,7.700000000000001,1572.1621625,7.2,2212.6829268292686,Other,0.0
800501004,25.3836854154591,34.48446791080603,34.48446791080603,Other,Multi-Family,67.0,"Ametlla del Vallès, L'","Ametlla del Vallès, l'",Valles Oriental,41.66939335,2.246079726,1,07 Peripheral Areas,91412.0,7.1000000000000005,1391.9027030000002,7.9,2679.5772357723577,Other,0.0
800501005,18.98218369785377,23.20047873086928,23.20047873086928,Other,Multi-Family,36.0,"Ametlla del Vallès, L'","Ametlla del Vallès, l'",Valles Oriental,41.64591149,2.263474517,1,07 Peripheral Areas,67877.0,6.5,1211.6432435000002,5.3,1102.4430894308944,Other,0.0
800601001,21.036280033150533,13.72565627886701,21.036280033150533,Other,Multi-Family,7.0,Arenys de Mar,Arenys de Mar,Maresme,41.58137185,2.552346341,1,07 Peripheral Areas,45218.0,8.2,1718.897297,5.1,1015.8536585365852,Other,0.0
800601002,21.99589359604523,13.91478235956418,21.99589359604523,Other,Multi-Family,46.0,Arenys de Mar,Arenys de Mar,Maresme,41.5828494,2.557356872,1,07 Peripheral Areas,44650.0,7.4,1461.6,5.9,1395.1341463414635,Other,0.0
800601003,17.56275611501518,18.40765818404652,18.40765818404652,Other,Single Family,83.0,Arenys de Mar,Arenys de Mar,Maresme,41.59054496,2.550452465,6,"06 Central Midsized Cities, Regeneration",47417.0,7.7,1555.816216,7.6,2491.3170731707314,Other,0.0
800601004,23.01486780346175,30.20715603954899,30.20715603954899,Other,Single Family,32.0,Arenys de Mar,Arenys de Mar,Maresme,41.58705395,2.561375232,1,07 Peripheral Areas,74616.0,9.9,2329.978378,6.4,1695.4796747967482,Other,0.0
800602001,20.27993642258097,16.551403398367835,20.27993642258097,Other,,0.0,Arenys de Mar,Arenys de Mar,Maresme,41.57800462,2.548288389,6,"06 Central Midsized Cities, Regeneration",42251.0,7.8,1587.827027,6.3,1642.09756097561,Other,0.0
800602002,20.504710029227248,17.25138446713581,20.504710029227248,Other,,0.0,Arenys de Mar,Arenys de Mar,Maresme,41.58059517,2.548028233,1,07 Peripheral Areas,45920.0,7.9,1620.140541,5.1,1015.8536585365852,Other,0.0
800602003,20.87474693257113,25.96780941831268,25.96780941831268,Other,Single Family,13.0,Arenys de Mar,Arenys de Mar,Maresme,41.57913202,2.53486298,1,07 Peripheral Areas,65529.0,7.4,1461.6,7.6,2491.3170731707314,Other,0.0
800602004,16.99878634165296,0.0,16.99878634165296,Other,Multi-Family,101.0,Arenys de Mar,Arenys de Mar,Maresme,,,6,"06 Central Midsized Cities, Regeneration",44934.0,8.7,1889.545946,,,Other,0.0
800602005,25.24668435184396,0.0,25.24668435184396,Other,,0.0,Arenys de Mar,Arenys de Mar,Maresme,41.58710861,2.544160636,6,"06 Central Midsized Cities, Regeneration",43203.0,8.2,1718.897297,,,Other,0.0
800701001,16.2074236332155,11.06773005872964,16.2074236332155,Other,Multi-Family,78.0,Arenys de Munt,Arenys de Munt,Maresme,41.61748462,2.515836133,1,07 Peripheral Areas,50490.0,8.0,1652.756757,5.0,968.9024390243904,Other,0.0
800701002,19.845984831242337,11.494331335498064,19.845984831242337,Other,,0.0,Arenys de Munt,Arenys de Munt,Maresme,41.61765828,2.536223913,1,07 Peripheral Areas,47574.0,7.9,1620.140541,6.1,1522.2723577235777,Other,0.0
800701003,18.870109458192317,0.0,18.870109458192317,Other,,0.0,,,,41.62428084,2.543719423,1,07 Peripheral Areas,47574.0,7.9,1620.140541,,,Other,0.0
800702001,20.09244233703866,18.93386055949683,20.09244233703866,Other,Multi-Family,972.0,Arenys de Munt,Arenys de Munt,Maresme,41.59978124,2.523716382,1,07 Peripheral Areas,59620.0,7.2,1400.302703,7.5,2400.914634146341,Other,0.0
800702002,16.886182018113676,18.911237681876298,18.911237681876298,Other,Multi-Family,49.0,Arenys de Munt,Arenys de Munt,Maresme,41.60225406,2.552310344,1,07 Peripheral Areas,44572.0,8.0,1652.756757,3.8,596.8780487804877,Other,0.0
800901001,22.510260196930773,18.49922255907844,22.510260196930773,Other,Multi-Family,729.0,Argentona,Argentona,Maresme,41.57258994,2.384702553,1,07 Peripheral Areas,64529.0,8.1,1685.675676,5.9,1395.1341463414635,Other,0.0
800901002,17.071414947624373,17.71896820055964,17.71896820055964,Other,,0.0,Argentona,Argentona,Maresme,41.54690575,2.407426188,1,07 Peripheral Areas,50837.0,7.9,1620.140541,7.3,2274.573170731708,Other,0.0
800901003,16.256271502627264,0.0,16.256271502627264,Other,,0.0,Argentona,Argentona,Maresme,41.53633956,2.415050214,6,"06 Central Midsized Cities, Regeneration",35223.0,7.4,1461.6,,,Other,0.0
